12, 21.5, 2
21.5, 31.0, 2
31.0, 40.5, 2
47.5, 57.0, 0
57.0, 66.5, 0
66.5, 76.0, 0
83.0, 92.5, 2
92.5, 102.0, 2
102.0, 111.5, 2
118.5, 128.0, 3
128.0, 137.5, 3
137.5, 147.0, 3
154.0, 163.5, 1
163.5, 173.0, 1
173.0, 182.5, 1
189.5, 199.0, 0
199.0, 208.5, 0
208.5, 218.0, 0
225.0, 234.5, 2
234.5, 244.0, 2
244.0, 253.5, 2
260.5, 270.0, 1
270.0, 279.5, 1
279.5, 289.0, 1
296.0, 305.5, 2
305.5, 315.0, 2
315.0, 324.5, 2
331.5, 341.0, 3
341.0, 350.5, 3
350.5, 360.0, 3
367.0, 376.5, 3
376.5, 386.0, 3
386.0, 395.5, 3
402.5, 412.0, 1
412.0, 421.5, 1
421.5, 431.0, 1
438.0, 447.5, 1
447.5, 457.0, 1
457.0, 466.5, 1
473.5, 483.0, 3
483.0, 492.5, 3
492.5, 502.0, 3
509.0, 518.5, 0
518.5, 528.0, 0
528.0, 537.5, 0
544.5, 554.0, 0
554.0, 563.5, 0
563.5, 573.0, 0
