25, 34.5, 0
34.5, 44.0, 0
44.0, 53.5, 0
73.5, 83.0, 3
83.0, 92.5, 3
92.5, 102.0, 3
122.0, 131.5, 2
131.5, 141.0, 2
141.0, 150.5, 2
170.5, 180.0, 0
180.0, 189.5, 0
189.5, 199.0, 0
219.0, 228.5, 1
228.5, 238.0, 1
238.0, 247.5, 1
267.5, 277.0, 3
277.0, 286.5, 3
286.5, 296.0, 3
316.0, 325.5, 0
325.5, 335.0, 0
335.0, 344.5, 0
364.5, 374.0, 2
374.0, 383.5, 2
383.5, 393.0, 2
413.0, 422.5, 1
422.5, 432.0, 1
432.0, 441.5, 1
461.5, 471.0, 3
471.0, 480.5, 3
480.5, 490.0, 3
510.0, 519.5, 1
519.5, 529.0, 1
529.0, 538.5, 1
558.5, 568.0, 2
568.0, 577.5, 2
577.5, 587.0, 2
607.0, 616.5, 0
616.5, 626.0, 0
626.0, 635.5, 0
655.5, 665.0, 1
665.0, 674.5, 1
674.5, 684.0, 1
704.0, 713.5, 2
713.5, 723.0, 2
723.0, 732.5, 2
752.5, 762.0, 0
762.0, 771.5, 0
771.5, 781.0, 0
801.0, 810.5, 3
810.5, 820.0, 3
820.0, 829.5, 3
849.5, 859.0, 2
859.0, 868.5, 2
868.5, 878.0, 2
898.0, 907.5, 1
907.5, 917.0, 1
917.0, 926.5, 1
946.5, 956.0, 3
956.0, 965.5, 3
965.5, 975.0, 3
995.0, 1004.5, 1
1004.5, 1014.0, 1
1014.0, 1023.5, 1
1043.5, 1053.0, 3
1053.0, 1062.5, 3
1062.5, 1072.0, 3
1092.0, 1101.5, 2
1101.5, 1111.0, 2
1111.0, 1120.5, 2
1140.5, 1150.0, 0
1150.0, 1159.5, 0
1159.5, 1169.0, 0
1189.0, 1198.5, 1
1198.5, 1208.0, 1
1208.0, 1217.5, 1
1237.5, 1247.0, 0
1247.0, 1256.5, 0
1256.5, 1266.0, 0
1286.0, 1295.5, 3
1295.5, 1305.0, 3
1305.0, 1314.5, 3
1334.5, 1344.0, 2
1344.0, 1353.5, 2
1353.5, 1363.0, 2
1383.0, 1392.5, 1
1392.5, 1402.0, 1
1402.0, 1411.5, 1
1431.5, 1441.0, 2
1441.0, 1450.5, 2
1450.5, 1460.0, 2
